title,location,price,area,bedrooms,furniture_status
Apartment Minervaplein,1077 TR Amsterdam (Apollobuurt),2850,111,3,Furnished
Apartment Amstelveenseweg 224 3,1075 XT Amsterdam (Schinkelbuurt),2950,115,3,Furnished
House Bongerdkade,1036 LZ Amsterdam (Tuindorp Oostzaan),3100,150,5,Furnished
Apartment Biesboschstraat 32 1,1078 MT Amsterdam (Scheldebuurt),2200,81,3,Upholstered or furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Het Breed,1025 JC Amsterdam (Buikslotermeer),3000,60,3,Furnished
House Veenbesstraat 2,1036 LP Amsterdam (Tuindorp Oostzaan),2800,130,5,Upholstered
Apartment Noorderdwarsstraat 8,1017 TX Amsterdam (De Weteringschans),2750,85,3,Furnished
Apartment Prinsengracht,1015 DR Amsterdam (Grachtengordel-West),3750,104,3,Furnished
House Stade de Colombes,1098 VS Amsterdam (Middenmeer),3000,232,7,Furnished
Apartment KNSM-laan,1019 LH Amsterdam (Oostelijk Havengebied),2500,107,3,Furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment De Boelelaan,1082 RD Amsterdam (Buitenveldert-West),2350,85,3,Furnished
Apartment Rustenburgerstraat,1073 EW Amsterdam (Nieuwe Pijp),1950,50,2,Upholstered
Apartment Merckenburg 12,1082 BT Amsterdam (Buitenveldert-West),2850,74,4,Furnished
Apartment Veerstraat 51 4,1075 SN Amsterdam (Schinkelbuurt),2350,70,2,Furnished
Apartment Herengracht 268 II,1016 BW Amsterdam (Grachtengordel-West),2495,70,3,Upholstered or furnished
Apartment Rosy Wertheimstraat 95,1082 MZ Amsterdam (Zuidas),2550,72,2,Furnished
Apartment Tweede van Swindenstraat,1093 XA Amsterdam (Dapperbuurt),1550,42,2,Upholstered
Apartment Amstelveenseweg,1075 XR Amsterdam (Schinkelbuurt),3000,92,4,Furnished
Apartment Bestevâerstraat,1056 HN Amsterdam (Geuzenbuurt),1900,77,3,Furnished
Apartment Van Tuyll van Serooskerkenweg,1076 JJ Amsterdam (Stadionbuurt),3750,140,7,Upholstered
Apartment Albatrospad 142,1021 TR Amsterdam (IJplein/Vogelbuurt),3500,130,3,Furnished
Apartment Korte Ouderkerkerdijk,1096 AC Amsterdam (Omval/Overamstel),7000,156,4,Furnished
Apartment Keizersgracht,1017 EM Amsterdam (Grachtengordel-Zuid),10750,320,7,Furnished
Apartment Swammerdamstraat 61 2,1091 RS Amsterdam (Weesperzijde),2550,98,3,Furnished
Apartment Nieuwpoortstraat 94 A15,1055 RZ Amsterdam (Landlust),1750,56,2,Upholstered
Apartment Nieuwezijds Voorburgwal 308 L,1012 RV Amsterdam (Burgwallen-Nieuwe Zijde),2950,120,3,Upholstered or furnished
Apartment Jacob Krüsestraat,1106 ZL Amsterdam (Gein),2800,129,5,Upholstered
Apartment Pieter de Hoochstraat 25 G,1071 ED Amsterdam (Museumkwartier),2800,97,3,Furnished
Apartment J.J. Cremerplein 40 3,1054 TL Amsterdam (Overtoomse Sluis),2850,90,3,Furnished
House Sarphatipark 102 HS,1073 EC Amsterdam (Nieuwe Pijp),4500,160,4,Furnished
Apartment George Gershwinlaan 81 D,1082 MT Amsterdam (Zuidas),4850,120,4,Furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Wiborgeiland,1014 ZC Amsterdam (Houthavens),2500,100,4,Upholstered
Apartment Valeriusstraat,1075 GL Amsterdam (Willemspark),2250,70,3,Upholstered or furnished
House Windjammerdijk,1086 VC Amsterdam (IJburg West),3250,165,6,Furnished
Apartment Sierplein,1065 LM Amsterdam (Slotervaart Zuid),1300,73,5,Shell
Apartment Swammerdamstraat,1091 RV Amsterdam (Weesperzijde),2600,62,3,Furnished
Apartment Keizersgracht 812 F,1017 ED Amsterdam (Grachtengordel-Zuid),3400,117,3,Furnished
Apartment Berthold Brechtstraat,"1102 RS Amsterdam (Bijlmer Centrum (D,F,H))",1650,55,2,Furnished
Apartment Singel 91 E,1012 VG Amsterdam (Burgwallen-Nieuwe Zijde),2850,110,2,Furnished
Apartment Valeriusstraat 24 hs,1071 MJ Amsterdam (Museumkwartier),4750,148,5,Upholstered
Apartment Hoendiepstraat 46 2,1079 LX Amsterdam (Rijnbuurt),2850,128,5,Upholstered
Apartment Floris Versterstraat,1058 JM Amsterdam (Hoofddorppleinbuurt),3000,91,3,Upholstered
Apartment Valkenburgerstraat 134 E,1011 NA Amsterdam (Nieuwmarkt/Lastage),3150,95,3,Furnished
Apartment Gustav Mahlerplein 165,1082 MS Amsterdam (Zuidas),2850,104,3,Upholstered or furnished
Apartment IJselstraat 87 H,1078 CG Amsterdam (IJselbuurt),2000,50,3,Upholstered
Apartment IJselstraat 87 4,1078 CG Amsterdam (IJselbuurt),1900,50,2,Upholstered
Apartment Vrijheidslaan,1079 KJ Amsterdam (Scheldebuurt),1800,68,3,Upholstered
Apartment Stadionkade 40 3,1077 VP Amsterdam (Apollobuurt),2375,114,4,Upholstered
Apartment Sint Willibrordusstraat,1073 VD Amsterdam (Nieuwe Pijp),1800,55,2,Furnished
Apartment Piet Gijzenbrugstraat 30 2,1059 XJ Amsterdam (Hoofddorppleinbuurt),2300,80,3,Upholstered
House Van Breestraat 139 hs,1071 ZL Amsterdam (Museumkwartier),4950,140,5,Upholstered
Apartment Des Présstraat 4 huis,1075 NX Amsterdam (Willemspark),4000,138,4,Upholstered
Apartment Lodewijk Boisotstraat 13,1057 ZM Amsterdam (Chassébuurt),2600,87,3,Furnished
Apartment Aalsmeerweg,1059 AA Amsterdam (Hoofddorppleinbuurt),1850,65,3,Furnished
